record_date,security_type_desc_df2,security_desc,avg_interest_rate_amt,record_fiscal_year_df2,record_fiscal_quarter_df2,record_calendar_year_df2,record_calendar_quarter_df2,record_calendar_month_df2,record_calendar_day_df2,debt_held_public_mil_amt,intragov_hold_mil_amt,total_mil_amt
2001-05-31,Marketable,Treasury Bills,4.56,2001,3,2001,2,5,31,618460.23,37.1,618497.33
2001-05-31,Marketable,Treasury Notes,6.021,2001,3,2001,2,5,31,1474376.008,1.0,1474377.008
2001-05-31,Marketable,Treasury Bonds,8.366,2001,3,2001,2,5,31,618263.695,459.321,618723.016
2001-05-31,Marketable,Federal Financing Bank,8.917,2001,3,2001,2,5,31,0.0,14999.99,14999.99
2001-05-31,Non-marketable,Domestic Series,7.934,2001,3,2001,2,5,31,29995.18,0.0,29995.18
2001-05-31,Non-marketable,Foreign Series,7.226,2001,3,2001,2,5,31,24186.228,0.0,24186.228
2001-05-31,Non-marketable,State and Local Government Series,5.398,2001,3,2001,2,5,31,155954.79,0.0,155954.79
2001-05-31,Non-marketable,United States Savings Securities,6.257,2001,3,2001,2,5,31,185346.531,0.0,185346.531
2001-05-31,Non-marketable,Government Account Series,6.519,2001,3,2001,2,5,31,38148.979,2363759.8146,2401908.7936
2001-06-30,Marketable,Treasury Bills,4.216,2001,3,2001,2,6,30,620044.461,37.1,620080.561
2001-06-30,Marketable,Treasury Notes,6.018,2001,3,2001,2,6,30,1474373.456,1.0,1474374.456
2001-06-30,Marketable,Treasury Bonds,8.361,2001,3,2001,2,6,30,616496.241,459.321,616955.562
2001-06-30,Marketable,Federal Financing Bank,8.917,2001,3,2001,2,6,30,0.0,14999.99,14999.99
2001-06-30,Non-marketable,Domestic Series,7.934,2001,3,2001,2,6,30,29995.18,0.0,29995.18
2001-06-30,Non-marketable,Foreign Series,7.184,2001,3,2001,2,6,30,24036.228,0.0,24036.228
2001-06-30,Non-marketable,State and Local Government Series,5.408,2001,3,2001,2,6,30,153322.432,0.0,153322.432
2001-06-30,Non-marketable,United States Savings Securities,6.252,2001,3,2001,2,6,30,185517.237,0.0,185517.237
2001-06-30,Non-marketable,Government Account Series,6.415,2001,3,2001,2,6,30,38189.959,2436545.03,2474735.989
2001-07-31,Marketable,Treasury Bills,3.994,2001,4,2001,3,7,31,653045.625,35.6,653081.225
2001-07-31,Marketable,Treasury Notes,5.975,2001,4,2001,3,7,31,1437087.666,1.0,1437088.666
2001-07-31,Marketable,Treasury Bonds,8.359,2001,4,2001,3,7,31,612243.839,459.321,612703.16
2001-07-31,Marketable,Federal Financing Bank,8.917,2001,4,2001,3,7,31,0.0,14999.99,14999.99
2001-07-31,Non-marketable,Domestic Series,7.934,2001,4,2001,3,7,31,29995.18,0.0,29995.18
2001-07-31,Non-marketable,Foreign Series,7.247,2001,4,2001,3,7,31,22213.057,0.0,22213.057
2001-07-31,Non-marketable,State and Local Government Series,5.4,2001,4,2001,3,7,31,149095.07,0.0,149095.07
2001-07-31,Non-marketable,United States Savings Securities,6.248,2001,4,2001,3,7,31,185816.262,0.0,185816.262
2001-07-31,Non-marketable,Government Account Series,6.407,2001,4,2001,3,7,31,38240.792,2436585.126,2474825.918
2001-08-31,Marketable,Treasury Bills,3.711,2001,4,2001,3,8,31,732583.949,34.6,732618.549
2001-08-31,Marketable,Treasury Notes,5.91,2001,4,2001,3,8,31,1432960.156,1.0,1432961.156
2001-08-31,Marketable,Treasury Bonds,8.315,2001,4,2001,3,8,31,612541.834,459.321,613001.155
2001-08-31,Marketable,Federal Financing Bank,8.917,2001,4,2001,3,8,31,0.0,14999.99,14999.99
2001-08-31,Non-marketable,Domestic Series,7.934,2001,4,2001,3,8,31,29995.18,0.0,29995.18
2001-08-31,Non-marketable,Foreign Series,7.196,2001,4,2001,3,8,31,21718.983,0.0,21718.983
2001-08-31,Non-marketable,State and Local Government Series,5.39,2001,4,2001,3,8,31,147293.415,0.0,147293.415
2001-08-31,Non-marketable,United States Savings Securities,6.243,2001,4,2001,3,8,31,186010.532,0.0,186010.532
2001-08-31,Non-marketable,Government Account Series,6.388,2001,4,2001,3,8,31,38989.588,2413563.467,2452553.055
2001-09-30,Marketable,Treasury Bills,3.482,2001,4,2001,3,9,30,734856.49,31.6,734888.09
2001-09-30,Marketable,Treasury Notes,5.908,2001,4,2001,3,9,30,1432947.267,9.5,1432956.767
2001-09-30,Marketable,Treasury Bonds,8.315,2001,4,2001,3,9,30,612529.574,459.321,612988.895
2001-09-30,Marketable,Federal Financing Bank,8.917,2001,4,2001,3,9,30,0.0,14999.99,14999.99
2001-09-30,Non-marketable,Domestic Series,7.935,2001,4,2001,3,9,30,29995.18,0.0,29995.18
2001-09-30,Non-marketable,Foreign Series,7.044,2001,4,2001,3,9,30,18268.983,0.0,18268.983
2001-09-30,Non-marketable,State and Local Government Series,5.382,2001,4,2001,3,9,30,146363.737,0.0,146363.737
2001-09-30,Non-marketable,United States Savings Securities,6.24,2001,4,2001,3,9,30,186463.784,0.0,186463.784
2001-09-30,Non-marketable,Government Account Series,6.356,2001,4,2001,3,9,30,39487.952,2452653.413,2492141.365
2001-10-31,Marketable,Treasury Bills,3.184,2002,1,2001,4,10,31,736217.384,33.6,736250.984
2001-10-31,Marketable,Treasury Notes,5.793,2002,1,2001,4,10,31,1419620.131,8.0,1419628.131
2001-10-31,Marketable,Treasury Bonds,8.312,2002,1,2001,4,10,31,610022.795,459.321,610482.116
2001-10-31,Marketable,Federal Financing Bank,8.917,2002,1,2001,4,10,31,0.0,14999.99,14999.99
2001-10-31,Non-marketable,Domestic Series,7.935,2002,1,2001,4,10,31,29995.18,0.0,29995.18
2001-10-31,Non-marketable,Foreign Series,6.944,2002,1,2001,4,10,31,16040.797,0.0,16040.797
2001-10-31,Non-marketable,State and Local Government Series,5.294,2002,1,2001,4,10,31,148631.389,0.0,148631.389
2001-10-31,Non-marketable,United States Savings Securities,6.235,2002,1,2001,4,10,31,188447.656,0.0,188447.656
2001-10-31,Non-marketable,Government Account Series,6.308,2002,1,2001,4,10,31,40620.834,2467443.117,2508063.951
2001-11-30,Marketable,Treasury Bills,2.669,2002,1,2001,4,11,30,813365.37,29.6,813394.97
2001-11-30,Marketable,Treasury Notes,5.671,2002,1,2001,4,11,30,1415453.387,8.0,1415461.387
2001-11-30,Marketable,Treasury Bonds,8.288,2002,1,2001,4,11,30,606558.967,459.321,607018.288
2001-11-30,Marketable,Federal Financing Bank,8.917,2002,1,2001,4,11,30,0.0,14999.99,14999.99
2001-11-30,Non-marketable,Domestic Series,7.935,2002,1,2001,4,11,30,29995.18,0.0,29995.18
2001-11-30,Non-marketable,Foreign Series,6.915,2002,1,2001,4,11,30,15453.909,0.0,15453.909
2001-11-30,Non-marketable,State and Local Government Series,5.242,2002,1,2001,4,11,30,148208.83,0.0,148208.83
2001-11-30,Non-marketable,United States Savings Securities,6.23,2002,1,2001,4,11,30,189872.527,0.0,189872.527
2001-11-30,Non-marketable,Government Account Series,6.262,2002,1,2001,4,11,30,41068.768,2469373.195,2510441.963
2001-12-31,Marketable,Treasury Bills,2.397,2002,1,2001,4,12,31,811213.763,32.6,811246.363
2001-12-31,Marketable,Treasury Notes,5.61,2002,1,2001,4,12,31,1413951.037,8.0,1413959.037
2001-12-31,Marketable,Treasury Bonds,8.283,2002,1,2001,4,12,31,602271.86,459.321,602731.181
2001-12-31,Marketable,Federal Financing Bank,8.917,2002,1,2001,4,12,31,0.0,14999.99,14999.99
2001-12-31,Non-marketable,Domestic Series,7.935,2002,1,2001,4,12,31,29995.18,0.0,29995.18
2001-12-31,Non-marketable,Foreign Series,6.918,2002,1,2001,4,12,31,15411.909,0.0,15411.909
2001-12-31,Non-marketable,State and Local Government Series,5.18,2002,1,2001,4,12,31,146246.209,0.0,146246.209
2001-12-31,Non-marketable,United States Savings Securities,6.22,2002,1,2001,4,12,31,190390.288,0.0,190390.288
2001-12-31,Non-marketable,Government Account Series,6.243,2002,1,2001,4,12,31,41215.74,2533539.683,2574756.423
2002-01-31,Marketable,Treasury Bills,2.145,2002,2,2002,1,1,31,792693.318,33.6,792726.918
2002-01-31,Marketable,Treasury Notes,5.536,2002,2,2002,1,1,31,1411894.104,8.0,1411902.104
2002-01-31,Marketable,Treasury Bonds,8.283,2002,2,2002,1,1,31,602270.767,459.321,602730.088
2002-01-31,Marketable,Federal Financing Bank,8.917,2002,2,2002,1,1,31,0.0,14999.99,14999.99
2002-01-31,Non-marketable,Domestic Series,7.935,2002,2,2002,1,1,31,29995.18,0.0,29995.18
2002-01-31,Non-marketable,Foreign Series,5.846,2002,2,2002,1,1,31,16411.91,0.0,16411.91
2002-01-31,Non-marketable,State and Local Government Series,5.186,2002,2,2002,1,1,31,143196.149,0.0,143196.149
2002-01-31,Non-marketable,United States Savings Securities,6.211,2002,2,2002,1,1,31,190946.991,0.0,190946.991
2002-01-31,Non-marketable,Government Account Series,6.256,2002,2,2002,1,1,31,42018.508,2542802.645,2584822.153
2002-02-28,Marketable,Treasury Bills,1.932,2002,2,2002,1,2,28,833210.597,33.6,833244.197
2002-02-28,Marketable,Treasury Notes,5.441,2002,2,2002,1,2,28,1443237.0,8.0,1443245.0
2002-02-28,Marketable,Treasury Bonds,8.27,2002,2,2002,1,2,28,596364.597,459.321,596823.918
2002-02-28,Marketable,Federal Financing Bank,8.917,2002,2,2002,1,2,28,0.0,14999.99,14999.99
2002-02-28,Non-marketable,Domestic Series,7.935,2002,2,2002,1,2,28,29995.18,0.0,29995.18
2002-02-28,Non-marketable,Foreign Series,5.837,2002,2,2002,1,2,28,14778.256,0.0,14778.256
2002-02-28,Non-marketable,State and Local Government Series,5.146,2002,2,2002,1,2,28,141823.362,0.0,141823.362
2002-02-28,Non-marketable,United States Savings Securities,6.206,2002,2,2002,1,2,28,191514.125,0.0,191514.125
2002-02-28,Non-marketable,Government Account Series,6.249,2002,2,2002,1,2,28,42343.804,2545708.023,2588052.827
2002-03-31,Marketable,Treasury Bills,1.876,2002,2,2002,1,3,31,834378.034,31.0,834409.034
2002-03-31,Marketable,Treasury Notes,5.415,2002,2,2002,1,3,31,1443241.603,8.0,1443249.603
2002-03-31,Marketable,Treasury Bonds,8.27,2002,2,2002,1,3,31,596325.15,459.321,596784.471
2002-03-31,Marketable,Federal Financing Bank,8.917,2002,2,2002,1,3,31,0.0,14999.99,14999.99
2002-03-31,Non-marketable,Domestic Series,7.935,2002,2,2002,1,3,31,29995.18,0.0,29995.18
2002-03-31,Non-marketable,Foreign Series,5.881,2002,2,2002,1,3,31,14578.256,0.0,14578.256
2002-03-31,Non-marketable,State and Local Government Series,5.125,2002,2,2002,1,3,31,141053.063,0.0,141053.063
2002-03-31,Non-marketable,United States Savings Securities,6.2,2002,2,2002,1,3,31,191962.283,0.0,191962.283
2002-03-31,Non-marketable,Government Account Series,6.251,2002,2,2002,1,3,31,43268.632,2546397.043,2589664.675
2002-04-30,Marketable,Treasury Bills,1.861,2002,3,2002,2,4,30,793469.045,34.0,793503.045
2002-04-30,Marketable,Treasury Notes,5.303,2002,3,2002,2,4,30,1445361.0727,15.95,1445377.0227
2002-04-30,Marketable,Treasury Bonds,8.27,2002,3,2002,2,4,30,592710.0003,309.921,593019.9213
2002-04-30,Marketable,Federal Financing Bank,8.917,2002,3,2002,2,4,30,0.0,14999.99,14999.99
2002-04-30,Non-marketable,Domestic Series,7.935,2002,3,2002,2,4,30,29995.18,0.0,29995.18
2002-04-30,Non-marketable,Foreign Series,5.746,2002,3,2002,2,4,30,14778.256,0.0,14778.256
2002-04-30,Non-marketable,State and Local Government Series,5.098,2002,3,2002,2,4,30,140295.182,0.0,140295.182
2002-04-30,Non-marketable,United States Savings Securities,6.195,2002,3,2002,2,4,30,192405.681,0.0,192405.681
2002-04-30,Non-marketable,Government Account Series,6.257,2002,3,2002,2,4,30,43562.465,2566980.583417,2610543.048417
2002-05-31,Marketable,Treasury Bills,1.852,2002,3,2002,2,5,31,816096.063,34.0,816130.063
2002-05-31,Marketable,Treasury Notes,5.199,2002,3,2002,2,5,31,1474312.969,15.95,1474328.919
2002-05-31,Marketable,Treasury Bonds,8.27,2002,3,2002,2,5,31,592705.4819,309.921,593015.4029
2002-05-31,Marketable,Federal Financing Bank,8.917,2002,3,2002,2,5,31,0.0,14999.99,14999.99
2002-05-31,Non-marketable,Domestic Series,7.935,2002,3,2002,2,5,31,29995.18,0.0,29995.18
2002-05-31,Non-marketable,Foreign Series,6.117,2002,3,2002,2,5,31,14378.256,0.0,14378.256
2002-05-31,Non-marketable,State and Local Government Series,4.993,2002,3,2002,2,5,31,146379.612,0.0,146379.612
2002-05-31,Non-marketable,United States Savings Securities,6.189,2002,3,2002,2,5,31,192594.4695,0.0,192594.4695
2002-05-31,Non-marketable,Government Account Series,6.26,2002,3,2002,2,5,31,16855.649,2570135.6,2586992.249
2002-06-30,Marketable,Treasury Bills,1.843,2002,3,2002,2,6,30,822439.41,33.0,822472.41
2002-06-30,Marketable,Treasury Notes,5.176,2002,3,2002,2,6,30,1474295.693,26.0,1474321.693
2002-06-30,Marketable,Treasury Bonds,8.27,2002,3,2002,2,6,30,592704.369,309.921,593014.29
2002-06-30,Non-marketable,State and Local Government Series,5.032,2002,3,2002,2,6,30,142746.209,0.0,142746.209
2002-06-30,Non-marketable,United States Savings Securities,6.183,2002,3,2002,2,6,30,192771.285,0.0,192771.285
2002-06-30,Non-marketable,Government Account Series,6.249,2002,3,2002,2,6,30,44419.881,2646952.675,2691372.556
2002-06-30,Marketable,Federal Financing Bank,8.917,2002,3,2002,2,6,30,0.0,14999.99,14999.99
2002-06-30,Non-marketable,Domestic Series,7.935,2002,3,2002,2,6,30,29995.18,0.0,29995.18
2002-06-30,Non-marketable,Foreign Series,6.254,2002,3,2002,2,6,30,13318.586,0.0,13318.586
2002-07-31,Marketable,Treasury Bills,1.832,2002,4,2002,3,7,31,862246.052,31.255,862277.307
2002-07-31,Marketable,Treasury Notes,5.042,2002,4,2002,3,7,31,1486931.899,25.95,1486957.849
2002-07-31,Marketable,Treasury Bonds,8.27,2002,4,2002,3,7,31,592701.788,309.921,593011.709
2002-07-31,Marketable,Federal Financing Bank,8.917,2002,4,2002,3,7,31,0.0,14999.99,14999.99
2002-07-31,Non-marketable,Domestic Series,7.936,2002,4,2002,3,7,31,29995.18,0.0,29995.18
2002-07-31,Non-marketable,Foreign Series,6.741,2002,4,2002,3,7,31,12918.586,0.0,12918.586
2002-07-31,Non-marketable,State and Local Government Series,5.089,2002,4,2002,3,7,31,134840.366,0.0,134840.366
2002-07-31,Non-marketable,United States Savings Securities,6.177,2002,4,2002,3,7,31,192957.55,0.0,192957.55
2002-07-31,Non-marketable,Government Account Series,6.11,2002,4,2002,3,7,31,45242.45,2643922.304,2689162.754
2002-08-31,Marketable,Treasury Bills,1.789,2002,4,2002,3,8,31,890698.339,31.255,890729.594
2002-08-31,Marketable,Treasury Notes,4.956,2002,4,2002,3,8,31,1508126.953,25.95,1508152.903
2002-08-31,Marketable,Treasury Bonds,8.27,2002,4,2002,3,8,31,592698.788,309.921,593008.709
2002-08-31,Non-marketable,Domestic Series,7.936,2002,4,2002,3,8,31,29995.18,0.0,29995.18
2002-08-31,Non-marketable,Foreign Series,7.017,2002,4,2002,3,8,31,12718.585,0.0,12718.585
2002-08-31,Non-marketable,State and Local Government Series,4.93,2002,4,2002,3,8,31,141630.597,0.0,141630.597
2002-08-31,Non-marketable,United States Savings Securities,6.17,2002,4,2002,3,8,31,193091.562,0.0,193091.562
2002-08-31,Non-marketable,Government Account Series,6.067,2002,4,2002,3,8,31,46624.217,2636838.21475,2683462.43175
2002-08-31,Marketable,Federal Financing Bank,8.917,2002,4,2002,3,8,31,0.0,14999.99,14999.99
2002-09-30,Non-marketable,Government Account Series,5.997,2002,4,2002,3,9,30,47604.837,2659691.468,2707295.305
2002-09-30,Marketable,Treasury Bills,1.748,2002,4,2002,3,9,30,868219.678,30.255,868249.933
2002-09-30,Marketable,Treasury Notes,4.807,2002,4,2002,3,9,30,1521571.714,24.95,1521596.664
2002-09-30,Marketable,Treasury Bonds,8.27,2002,4,2002,3,9,30,592694.88,309.921,593004.801
2002-09-30,Marketable,Federal Financing Bank,8.917,2002,4,2002,3,9,30,0.0,14999.99,14999.99
2002-09-30,Non-marketable,Domestic Series,7.936,2002,4,2002,3,9,30,29995.18,0.0,29995.18
2002-09-30,Non-marketable,Foreign Series,7.306,2002,4,2002,3,9,30,12518.585,0.0,12518.585
2002-09-30,Non-marketable,State and Local Government Series,4.85,2002,4,2002,3,9,30,144285.791,0.0,144285.791
2002-09-30,Non-marketable,United States Savings Securities,6.165,2002,4,2002,3,9,30,193312.075,0.0,193312.075
2002-10-31,Marketable,Treasury Bills,1.696,2003,1,2002,4,10,31,881840.163,27.0,881867.163
2002-10-31,Marketable,Treasury Notes,4.732,2003,1,2002,4,10,31,1527415.233,26.0,1527441.233
2002-10-31,Marketable,Treasury Bonds,8.27,2003,1,2002,4,10,31,592689.016,309.921,592998.937
2002-10-31,Non-marketable,Domestic Series,7.936,2003,1,2002,4,10,31,29995.18,0.0,29995.18
2002-10-31,Non-marketable,Foreign Series,6.992,2003,1,2002,4,10,31,12718.585,0.0,12718.585
2002-10-31,Non-marketable,State and Local Government Series,4.71,2003,1,2002,4,10,31,149572.847,0.0,149572.847
2002-10-31,Non-marketable,United States Savings Securities,6.157,2003,1,2002,4,10,31,193854.8329,0.0,193854.8329
2002-10-31,Non-marketable,Government Account Series,5.931,2003,1,2002,4,10,31,47985.809,2695641.496,2743628.305
2002-11-30,Non-marketable,United States Savings Securities,6.15,2003,1,2002,4,11,30,194443.081,0.0,194443.081
2002-11-30,Non-marketable,Government Account Series,5.879,2003,1,2002,4,11,30,48883.083,2693746.369,2742628.452
2002-11-30,Marketable,Treasury Bills,1.568,2003,1,2002,4,11,30,901417.467,26.107,901443.574
2002-11-30,Marketable,Treasury Notes,4.681,2003,1,2002,4,11,30,1568837.947,26.0,1568863.947
2002-11-30,Marketable,Treasury Bonds,8.255,2003,1,2002,4,11,30,588464.944,309.921,588774.865
2002-11-30,Non-marketable,Domestic Series,7.936,2003,1,2002,4,11,30,29995.18,0.0,29995.18
2002-11-30,Non-marketable,Foreign Series,7.293,2003,1,2002,4,11,30,12518.585,0.0,12518.585
2002-11-30,Non-marketable,State and Local Government Series,4.577,2003,1,2002,4,11,30,154089.973,0.0,154089.973
2002-12-31,Non-marketable,Domestic Series,7.936,2003,1,2002,4,12,31,29995.18,0.0,29995.18
2002-12-31,Non-marketable,Foreign Series,7.226,2003,1,2002,4,12,31,11206.957,0.0,11206.957
2002-12-31,Marketable,Treasury Bills,1.47,2003,1,2002,4,12,31,888740.824,24.0,888764.824
2002-12-31,Marketable,Treasury Notes,4.556,2003,1,2002,4,12,31,1580860.456,25.95,1580886.406
2002-12-31,Marketable,Treasury Bonds,8.255,2003,1,2002,4,12,31,588450.369,309.921,588760.29
2002-12-31,Non-marketable,State and Local Government Series,4.49,2003,1,2002,4,12,31,153397.576,0.0,153397.576
2002-12-31,Non-marketable,United States Savings Securities,6.133,2003,1,2002,4,12,31,194933.142,0.0,194933.142
2002-12-31,Non-marketable,Government Account Series,5.849,2003,1,2002,4,12,31,49537.935,2757408.494,2806946.429
2003-01-31,Non-marketable,Domestic Series,7.936,2003,2,2003,1,1,31,29995.18,0.0,29995.18
2003-01-31,Non-marketable,Foreign Series,7.215,2003,2,2003,1,1,31,11206.958,0.0,11206.958
2003-01-31,Non-marketable,State and Local Government Series,4.523,2003,2,2003,1,1,31,148574.085,0.0,148574.085
2003-01-31,Non-marketable,United States Savings Securities,6.121,2003,2,2003,1,1,31,195812.747,0.0,195812.747
2003-01-31,Non-marketable,Government Account Series,5.827,2003,2,2003,1,1,31,50603.95,2764036.694,2814640.644
2003-01-31,Marketable,Treasury Bills,1.353,2003,2,2003,1,1,31,869316.788,26.0,869342.788
2003-01-31,Marketable,Treasury Notes,4.485,2003,2,2003,1,1,31,1586143.748,25.95,1586169.698
2003-01-31,Marketable,Treasury Bonds,8.255,2003,2,2003,1,1,31,588445.534,309.921,588755.455
2003-02-28,Marketable,Treasury Bills,1.299,2003,2,2003,1,2,28,918766.536,28.0,918794.536
2003-02-28,Marketable,Treasury Notes,4.358,2003,2,2003,1,2,28,1616553.31,19.0,1616572.31
2003-02-28,Marketable,Treasury Bonds,8.242,2003,2,2003,1,2,28,585445.716,309.921,585755.637
2003-02-28,Non-marketable,Domestic Series,7.936,2003,2,2003,1,2,28,29995.18,0.0,29995.18
2003-02-28,Non-marketable,Foreign Series,6.55,2003,2,2003,1,2,28,11606.958,0.0,11606.958
2003-02-28,Non-marketable,State and Local Government Series,4.449,2003,2,2003,1,2,28,149561.271,0.0,149561.271
2003-02-28,Non-marketable,United States Savings Securities,6.114,2003,2,2003,1,2,28,196424.13,0.0,196424.13
2003-02-28,Non-marketable,Government Account Series,5.839,2003,2,2003,1,2,28,18981.532,2761545.425,2780527.957
2003-03-31,Marketable,Treasury Bills,1.249,2003,2,2003,1,3,31,955018.259,30.7,955048.959
2003-03-31,Marketable,Treasury Notes,4.29,2003,2,2003,1,3,31,1622916.621,18.95,1622935.571
2003-03-31,Marketable,Treasury Bonds,8.242,2003,2,2003,1,3,31,585440.351,309.921,585750.272
2003-03-31,Marketable,Federal Financing Bank,5.25,2003,2,2003,1,3,31,0.0,14999.99,14999.99
2003-03-31,Non-marketable,Domestic Series,7.936,2003,2,2003,1,3,31,29995.18,0.0,29995.18
2003-03-31,Non-marketable,Foreign Series,5.769,2003,2,2003,1,3,31,12206.958,0.0,12206.958
2003-03-31,Non-marketable,State and Local Government Series,4.456,2003,2,2003,1,3,31,148825.943,0.0,148825.943
2003-03-31,Non-marketable,United States Savings Securities,6.105,2003,2,2003,1,3,31,196930.117,0.0,196930.117
2003-03-31,Non-marketable,Government Account Series,5.878,2003,2,2003,1,3,31,2720.49,2734104.651,2736824.141
2003-04-30,Marketable,Treasury Bills,1.208,2003,3,2003,2,4,30,929868.904,31.7,929900.604
2003-04-30,Marketable,Treasury Notes,4.225,2003,3,2003,2,4,30,1631282.972,33.95,1631316.922
2003-04-30,Marketable,Treasury Bonds,8.242,2003,3,2003,2,4,30,585436.438,309.921,585746.359
2003-04-30,Marketable,Federal Financing Bank,5.25,2003,3,2003,2,4,30,0.0,14999.99,14999.99
2003-04-30,Non-marketable,Domestic Series,7.936,2003,3,2003,2,4,30,29995.18,0.0,29995.18
2003-04-30,Non-marketable,Foreign Series,5.779,2003,3,2003,2,4,30,12206.958,0.0,12206.958
2003-04-30,Non-marketable,State and Local Government Series,4.492,2003,3,2003,2,4,30,145740.97,0.0,145740.97
2003-04-30,Non-marketable,United States Savings Securities,6.098,2003,3,2003,2,4,30,197721.2,0.0,197721.2
2003-04-30,Non-marketable,Government Account Series,5.865,2003,3,2003,2,4,30,12079.055,2742160.176,2754240.231
2003-05-31,Non-marketable,United States Savings Securities,6.091,2003,3,2003,2,5,31,198462.8025,0.0,198462.8025
2003-05-31,Non-marketable,Government Account Series,5.795,2003,3,2003,2,5,31,53092.518,2766141.84688,2819235.36488
2003-05-31,Marketable,Treasury Bills,1.167,2003,3,2003,2,5,31,910751.34,34.4,910785.74
2003-05-31,Marketable,Treasury Notes,4.158,2003,3,2003,2,5,31,1690261.3857,38.95,1690300.3357
2003-05-31,Marketable,Treasury Bonds,8.228,2003,3,2003,2,5,31,582200.5835,309.921,582510.5045
2003-05-31,Marketable,Federal Financing Bank,5.25,2003,3,2003,2,5,31,0.0,14999.99,14999.99
2003-05-31,Non-marketable,Domestic Series,7.936,2003,3,2003,2,5,31,29995.18,0.0,29995.18
